selling_price,seller_type,Km_driven,owner_type,fuel_type,transmission_type,Mileage_KMpH,Engine_cc,max_power_bhp,Seats,No_year
1.2,100,120000,100,100,100,19.7,796,46.3,5,10
5.5,100,20000,100,100,100,18.9,1197,82,5,6
2.15,100,60000,100,100,100,17,1197,80,5,12
2.26,100,37000,100,100,100,20.92,998,67.1,5,10
5.7,200,30000,100,200,100,22.77,1498,98.59,5,7
3.5,100,35000,100,100,100,18.9,998,67.1,5,9
3.15,200,40000,100,100,100,20.36,1197,78.9,5,9
4.1,200,17512,100,100,100,20.51,998,67.04,5,4
10.5,100,20000,100,100,200,18.15,998,118.35,5,3
5.75,200,70000,100,200,100,18.49,1493,100,7,5
3.05,100,50000,100,200,100,19.09,1405,69.01,5,7
11.5,100,18000,100,200,100,20.37,1461,108.49,5,3
5.11,200,28321,100,100,100,16.6,1197,85,5,5
4.1,200,27000,100,100,200,19.34,1198,76,5,6
4.25,200,65278,100,200,100,22.32,1582,126.32,5,9
7.5,100,50000,100,200,100,19.64,1461,108.45,5,6
6.5,200,76000,100,200,100,28.09,1248,88.5,5,6
6.27,100,20000,100,200,100,25.2,1248,74,5,6
14.25,200,65000,100,200,200,19.27,2143,170,5,8
4.25,200,62200,100,200,100,28.4,1248,74,5,8
6,100,20000,100,100,100,21.4,1197,83.1,5,7
5.75,100,40000,100,100,100,20.85,1197,83.14,5,6
2.6,100,97000,100,200,100,17.8,1248,76,5,10
4.25,200,47000,100,100,100,16.09,1598,103.2,5,9
2.3,200,25000,100,100,100,20.92,998,67.1,5,9
12.25,100,15000,100,200,100,19.67,1582,126.2,5,3
7.5,100,50000,100,100,100,17.4,1497,117.3,5,7
6,100,90000,100,200,100,26.59,1248,74,5,7
3.9,200,45000,100,200,100,26.59,1248,74,5,9
1.45,200,77253,100,100,100,17.7,1497,78,5,15
7,100,25000,100,100,100,17.19,1197,81.86,5,4
3.4,100,30000,100,100,100,23.01,999,67,5,5
4.65,200,39993,100,100,100,18.6,1199,88.76,5,6
1.25,100,80000,100,100,100,17.92,1086,62.1,5,13
3.8,100,90000,100,200,100,23.4,1248,74,5,9
3,100,90000,100,200,100,22.1,1248,74,5,8
5,100,20000,100,100,100,19.1,1197,82,5,7
8.5,100,15000,100,200,100,22.54,1396,88.73,5,4
5.98,100,40000,100,100,100,18.6,1197,81.83,5,4
7,200,31180,100,100,200,18,1497,117.3,5,7
9,100,40000,100,200,200,18.49,1493,100,7,4
3,100,58000,100,200,100,19.09,1396,69,5,7
4.1,200,56000,100,200,100,23.4,1248,74,5,8
3,100,93000,100,200,100,20.5,1248,91.7,5,11
2.25,200,86000,100,100,100,12.2,1817,75,5,12
5.9,200,52427,100,100,200,21.4,1197,83.1,5,6
8.5,100,40000,100,200,100,21,1498,74.96,7,2
1.08,100,70000,100,100,100,26,624,35,4,11
5.5,100,17000,100,100,100,18.15,1198,82,5,4
3.25,200,54325,100,100,100,17.6,1496,88.73,5,10
6.25,200,22000,100,100,100,15.4,1590,94,5,6
6,100,54000,100,100,100,20.85,1197,83.14,5,6
